código,clave,descripción,margen de mercado,caja,master,precio,unidad,ean,precio mínimo de venta,alta rotación,precio mayoreo con IVA,precio distribuidor con IVA,precio público con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio público sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripción Familia,Peso[Kg],Volumen[cm3]
49075,LLJ-100B,"Llave p/manguera, de latón, 100g, 1/2', blíster, BASIC",MM00,6,120,72,Pieza,7.50624E+12,49,0,59,49,72,50.86,42.24,62.07,Foset,56.03,65,27111700,Llaves inglesas y guías,P177,Llaves de jardín,0.116,427.639
49082,LLJ-140,"Llave p/manguera, de latón, 140g, 1/2', granel, FOSET",MM00,6,144,95,Pieza,7.50121E+12,65,0,79,65,95,68.1,56.03,81.9,Foset,73.28,85,40141608,Válvulas hidráulicas,P177,Llaves de jardín,0.134,217.734
49084,LLJ-130C,"Llave p/manguera, de latón cromado, 130g, 1/2',granel, FOSET",MM00,6,72,115,Pieza,7.50121E+12,79,0,95,79,115,81.9,68.1,99.14,Foset,90.52,105,40141608,Válvulas hidráulicas,P177,Llaves de jardín,0.134,236.528
49085,LLJ-120,"Llave p/manguera, de latón, 120g, 1/2', granel, FOSET",MM00,12,120,75,Pieza,7.50121E+12,52,0,62,52,75,53.45,44.83,64.66,Foset,59.48,69,30181700,Grifos,P177,Llaves de jardín,0.12,189.001
49088,LLJ-180,"Llave p/manguera, de latón, 180g, 3/4', granel, FOSET",MM00,6,72,119,Pieza,7.50121E+12,82,0,98,82,119,84.48,70.69,102.59,Foset,93.97,109,40141608,Válvulas hidráulicas,P177,Llaves de jardín,0.175,249.86
49089,LLJ-120B,"Llave para manguera, latón, 120g, 1/2', blíster, FOSET",MM00,6,120,80,Pieza,7.50121E+12,56,0,67,56,80,57.76,48.28,68.97,Foset,63.79,74,40141608,Válvulas hidráulicas,P177,Llaves de jardín,0.13,515.5
49093,CD-26,"Cerrojo Digital tubular color negro, HERMEX",MM00,1,18,2105,Pieza,7.50661E+12,1450,0,1750,1450,2105,1508.62,1250,1814.66,Hermex,1650.86,1915,31162402,Cerraduras,P032,Cerraduras de sobreponer,0.835,2448.536
49094,CARCO-3,"Cartucho de compresión para mezcladora, FOSET",MM00,1,36,65,Pieza,7.50624E+12,42,0,55,42,65,47.41,36.21,56.03,Foset,50.86,59,30181700,Grifos,P694,Grifería,0.046,215.596
49099,CARCE-1,"Bolsa con 2 cartuchos cerámicos para mezcladoras, FOSET",MM00,1,36,87,Par,7.50121E+12,55,0,72,55,87,62.07,47.41,75,Foset,68.1,79,40141700,Material de ferretería y accesorios,P694,Grifería,0.071,119.41
49100,CARCE-4,"Bolsa con 2 cartuchos cerámicos p/mezcladoras, FOSET",MM00,1,36,102,Par,7.50121E+12,65,0,85,65,102,73.28,56.03,87.93,Foset,80.17,93,40141700,Material de ferretería y accesorios,P694,Grifería,0.07,215.625
49102,CARCE-7,Bolsa con 2 cartuchos cerámicos para llaves de empotrar,MM00,1,36,113,Par,7.50121E+12,72,0,93,72,113,80.17,62.07,97.41,Foset,88.79,103,40141700,Material de ferretería y accesorios,P694,Grifería,0.109,215.625
49103,ANG-02BL,"Llave angular 1/2', multivuelta, roscable, blíster, FOSET",MM00,6,72,95,Pieza,7.50624E+12,60,0,78,60,95,67.24,51.72,81.9,Foset,74.14,86,40141608,Válvulas hidráulicas,P486,Llaves angulares,0.111,514.938
49104,ANG-03BL,"Llave angular  1/2', multivuelta, barrilito, blíster, FOSET",MM00,6,36,99,Pieza,7.50624E+12,63,0,82,63,99,70.69,54.31,85.34,Foset,77.59,90,40141608,Válvulas hidráulicas,P486,Llaves angulares,0.116,358.865
49105,LL-F,"Llave 1/2' para fregadero con niple y chapeton, cromo, BASIC",MM00,4,24,225,Pieza,7.50624E+12,155,0,185,155,225,159.48,133.62,193.97,Foset,176.72,205,40141700,Material de ferretería y accesorios,P694,Grifería,0.28,805.605
49106,ELF-84,"Monomando con doble salida para fregadero, Cromo, ELEMENT",MM00,1,4,2685,Pieza,7.50231E+12,1850,0,2215,1850,2685,1909.48,1594.83,2314.66,Foset,2112.07,2450,23191000,Mezcladores por tandas,P694,Grifería,2.84,16787.412
49107,ELF-84N,"Monomando con doble salida para fregadero, Satín, ELEMENT",MM00,1,4,3700,Pieza,7.50231E+12,2550,0,3050,2550,3700,2629.31,2198.28,3189.66,Foset,2887.93,3350,23191000,Mezcladores por tandas,P694,Grifería,2.84,16320
49109,ANG-03,"Llave angular 1/2', multivuelta, barrilito, FOSET",MM00,6,72,95,Pieza,7.50121E+12,60,0,78,60,95,67.24,51.72,81.9,Foset,74.14,86,40141608,Válvulas hidráulicas,P486,Llaves angulares,0.106,158.27
49112,ANG-02,"Llave angular 1/2', multivuelta, roscable, FOSET",MM00,12,144,87,Pieza,7.50121E+12,55,0,72,55,87,62.07,47.41,75,Foset,68.1,79,40141608,Válvulas hidráulicas,P486,Llaves angulares,0.1,115.268
49116,VG-554-B,Válvula de control latón para gas 3/8'x1/2' tipo barrilito,MM00,6,36,117,Pieza,7.50121E+12,75,0,97,75,117,83.62,64.66,100.86,Foset,92.24,107,40141608,Válvulas hidráulicas,P476,Válvulas de latón,0.125,99.702
49118,ANG-10,"Llave angular 1/2 x 3/8', multivuelta, barrilito, FOSET",MM00,6,144,92,Pieza,7.50624E+12,58,0,75,58,92,64.66,50,79.31,Foset,71.55,83,27111700,Llaves inglesas y guías,P486,Llaves angulares,0.11,164.938
